Date : 2023-05-03 23:54:52
Directory : d:\JS\light-store\src
Total : 297 files,  6536 codes, 21 comments, 1074 blanks, all 7631 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\modules\customers\tabs\personal-tab                                                                                   |          3 |        136 |          2 |         20 |        158 |
| app\modules\employees                                                                                                     |         65 |      1,209 |          6 |        222 |      1,437 |
| app\modules\employees (Files)                                                                                             |          2 |         81 |          0 |         10 |         91 |
| app\modules\employees\components                                                                                          |         18 |        262 |          0 |         54 |        316 |
| app\modules\employees\components\employee-header                                                                          |          3 |         39 |          0 |          6 |         45 |
| app\modules\employees\components\product-in-adding                                                                        |          3 |         64 |          0 |         11 |         75 |
| app\modules\employees\components\product-item                                                                             |          3 |         41 |          0 |          9 |         50 |
| app\modules\employees\components\product-selector                                                                         |          3 |         47 |          0 |         10 |         57 |
| app\modules\employees\components\products-adding-item                                                                     |          3 |         27 |          0 |          7 |         34 |
| app\modules\employees\components\products-adding-selector                                                                 |          3 |         44 |          0 |         11 |         55 |
| app\modules\employees\guards                                                                                              |          1 |         20 |          0 |          4 |         24 |
| app\modules\employees\models                                                                                              |         10 |         65 |          0 |         16 |         81 |
| app\modules\employees\models (Files)                                                                                      |          4 |         26 |          0 |          7 |         33 |
| app\modules\employees\models\dtos                                                                                         |          6 |         39 |          0 |          9 |         48 |
| app\modules\employees\pages                                                                                               |          6 |         32 |          0 |          9 |         41 |
| app\modules\employees\pages\employee-base-layout                                                                          |          3 |          9 |          0 |          5 |         14 |
| app\modules\employees\pages\employee-page                                                                                 |          3 |         23 |          0 |          4 |         27 |
| app\modules\employees\services                                                                                            |          4 |        160 |          0 |         22 |        182 |
| app\modules\employees\tabs                                                                                                |         24 |        589 |          6 |        107 |        702 |
| app\modules\employees\tabs\orders-tab                                                                                     |          3 |          9 |          0 |          5 |         14 |
| app\modules\employees\tabs\product-editor-tab                                                                             |          3 |        211 |          2 |         32 |        245 |
| app\modules\employees\tabs\products-adding-view-tab                                                                       |          3 |         53 |          0 |          8 |         61 |
| app\modules\employees\tabs\products-addings-editor-tab                                                                    |          3 |         97 |          2 |         18 |        117 |
| app\modules\employees\tabs\products-addings-tab                                                                           |          3 |         24 |          0 |          6 |         30 |
| app\modules\employees\tabs\products-categories-tab                                                                        |          3 |         39 |          0 |         11 |         50 |
| app\modules\employees\tabs\products-category-editor-tab                                                                   |          3 |        133 |          2 |         21 |        156 |
| app\modules\employees\tabs\products-tab                                                                                   |          3 |         23 |          0 |          6 |         29 |
| app\modules\jwt                                                                                                           |          1 |         20 |          0 |          3 |         23 |
| app\modules\shared                                                                                                        |        111 |      2,090 |          4 |        365 |      2,459 |
| app\modules\shared (Files)                                                                                                |          2 |        117 |          0 |          7 |        124 |
| app\modules\shared\components                                                                                             |         48 |        891 |          2 |        159 |      1,052 |
| app\modules\shared\components\change-password                                                                             |          3 |         87 |          2 |         15 |        104 |
| app\modules\shared\components\dropdown-label                                                                              |          3 |         36 |          0 |          7 |         43 |
| app\modules\shared\components\footer                                                                                      |          3 |         55 |          0 |          7 |         62 |
| app\modules\shared\components\form-error                                                                                  |          3 |         41 |          0 |         10 |         51 |
| app\modules\shared\components\form-section                                                                                |          3 |         20 |          0 |          4 |         24 |
| app\modules\shared\components\header                                                                                      |          3 |         79 |          0 |          9 |         88 |
| app\modules\shared\components\image-selector                                                                              |          3 |         20 |          0 |          7 |         27 |
| app\modules\shared\components\modal                                                                                       |          3 |         34 |          0 |          8 |         42 |
| app\modules\shared\components\modal-accept                                                                                |          3 |         34 |          0 |          9 |         43 |
| app\modules\shared\components\notification                                                                                |          3 |         56 |          0 |          7 |         63 |
| app\modules\shared\components\notification-container                                                                      |          3 |         31 |          0 |          6 |         37 |
| app\modules\shared\components\pagination-control                                                                          |          3 |        112 |          0 |         17 |        129 |
| app\modules\shared\components\products-category-card                                                                      |          3 |         37 |          0 |          8 |         45 |
| app\modules\shared\components\products-category-selector                                                                  |          3 |        124 |          0 |         25 |        149 |
| app\modules\shared\components\search                                                                                      |          3 |         91 |          0 |         12 |        103 |
| app\modules\shared\components\sidenav                                                                                     |          3 |         34 |          0 |          8 |         42 |
| app\modules\shared\directives                                                                                             |          2 |        140 |          1 |         37 |        178 |
| app\modules\shared\guards                                                                                                 |          1 |         19 |          0 |          5 |         24 |
| app\modules\shared\models                                                                                                 |         20 |        110 |          0 |         31 |        141 |
| app\modules\shared\models (Files)                                                                                         |         14 |         83 |          0 |         22 |        105 |
| app\modules\shared\models\dtos                                                                                            |          6 |         27 |          0 |          9 |         36 |
| app\modules\shared\pages                                                                                                  |         18 |        370 |          1 |         43 |        414 |
| app\modules\shared\pages\auth-page                                                                                        |          3 |         92 |          0 |         13 |        105 |
| app\modules\shared\pages\base-layout                                                                                      |          3 |         12 |          0 |          5 |         17 |
| app\modules\shared\pages\info                                                                                             |         12 |        266 |          1 |         25 |        292 |
| app\modules\shared\pages\info (Files)                                                                                     |          1 |         20 |          0 |          4 |         24 |
| app\modules\shared\pages\info\agreement-page                                                                              |          2 |         22 |          0 |          4 |         26 |
| app\modules\shared\pages\info\contacts-page                                                                               |          3 |          9 |          0 |          5 |         14 |
| app\modules\shared\pages\info\exchange-refund-page                                                                        |          2 |         21 |          0 |          4 |         25 |
| app\modules\shared\pages\info\privacy-policy-page                                                                         |          2 |        167 |          1 |          4 |        172 |
| app\modules\shared\pages\info\warranty-page                                                                               |          2 |         27 |          0 |          4 |         31 |
| app\modules\shared\pipes                                                                                                  |          7 |        103 |          0 |         23 |        126 |
| app\modules\shared\services                                                                                               |          7 |        292 |          0 |         44 |        336 |
| app\modules\shared\utils                                                                                                  |          2 |         11 |          0 |          4 |         15 |
| app\modules\shared\validators                                                                                             |          4 |         37 |          0 |         12 |         49 |
| app\pages                                                                                                                 |          3 |          9 |          0 |          5 |         14 |
| app\pages\notfound-page                                                                                                   |          3 |          9 |          0 |          5 |         14 |
| assets                                                                                                                    |          7 |        112 |          2 |          6 |        120 |
| assets\img                                                                                                                |          7 |        112 |          2 |          6 |        120 |
| assets\img\icons                                                                                                          |          7 |        112 |          2 |          6 |        120 |
| environments                                                                                                              |          2 |         12 |          0 |          4 |         16 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\JS\light-store\src\_mixins.scss                                                                                        | SCSS       |         32 |          0 |          5 |         37 |
| d:\JS\light-store\src\_variables.scss                                                                                     | SCSS       |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\app-routing.module.ts                                                                           | TypeScript |         41 |          0 |          6 |         47 |
| d:\JS\light-store\src\app\app.component.html                                                                              | HTML       |          3 |          0 |          1 |          4 |
| d:\JS\light-store\src\app\app.component.scss                                                                              | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\app.component.spec.ts                                                                           | TypeScript |         31 |          0 |          5 |         36 |
| d:\JS\light-store\src\app\app.component.ts                                                                                | TypeScript |          8 |          0 |          3 |         11 |
| d:\JS\light-store\src\app\app.module.ts                                                                                   | TypeScript |         23 |          0 |          4 |         27 |
| d:\JS\light-store\src\app\modules\admins\admins-routing.module.ts                                                         | TypeScript |         21 |          0 |          4 |         25 |
| d:\JS\light-store\src\app\modules\admins\admins.module.ts                                                                 | TypeScript |         35 |          0 |          4 |         39 |
| d:\JS\light-store\src\app\modules\admins\components\admin-header\admin-header.component.html                              | HTML       |         21 |          0 |          1 |         22 |
| d:\JS\light-store\src\app\modules\admins\components\admin-header\admin-header.component.scss                              | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\admins\components\admin-header\admin-header.component.ts                                | TypeScript |         18 |          0 |          4 |         22 |
| d:\JS\light-store\src\app\modules\admins\components\employee-item\employee-item.component.html                            | HTML       |          5 |          0 |          1 |          6 |
| d:\JS\light-store\src\app\modules\admins\components\employee-item\employee-item.component.scss                            | SCSS       |          8 |          0 |          3 |         11 |
| d:\JS\light-store\src\app\modules\admins\components\employee-item\employee-item.component.ts                              | TypeScript |         14 |          0 |          3 |         17 |
| d:\JS\light-store\src\app\modules\admins\components\warehouse-item\warehouse-item.component.html                          | HTML       |         18 |          0 |          3 |         21 |
| d:\JS\light-store\src\app\modules\admins\components\warehouse-item\warehouse-item.component.scss                          | SCSS       |         35 |          1 |          8 |         44 |
| d:\JS\light-store\src\app\modules\admins\components\warehouse-item\warehouse-item.component.ts                            | TypeScript |         14 |          0 |          3 |         17 |
| d:\JS\light-store\src\app\modules\admins\guards\admin.guard.ts                                                            | TypeScript |         20 |          0 |          4 |         24 |
| d:\JS\light-store\src\app\modules\admins\models\dto\create-employee-dto.ts                                                | TypeScript |          8 |          0 |          1 |          9 |
| d:\JS\light-store\src\app\modules\admins\models\dto\create-warehouse-dto.ts                                               | TypeScript |          5 |          0 |          1 |          6 |
| d:\JS\light-store\src\app\modules\admins\models\dto\update-warehouse-dto.ts                                               | TypeScript |          6 |          0 |          1 |          7 |
| d:\JS\light-store\src\app\modules\admins\models\employee.ts                                                               | TypeScript |          7 |          0 |          2 |          9 |
| d:\JS\light-store\src\app\modules\admins\pages\admin-page\admin-page.component.html                                       | HTML       |          9 |          0 |          1 |         10 |
| d:\JS\light-store\src\app\modules\admins\pages\admin-page\admin-page.component.scss                                       | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\admins\pages\admin-page\admin-page.component.ts                                         | TypeScript |         12 |          0 |          2 |         14 |
| d:\JS\light-store\src\app\modules\admins\services\employee.service.ts                                                     | TypeScript |         34 |          0 |          4 |         38 |
| d:\JS\light-store\src\app\modules\admins\services\warehouse.service.ts                                                    | TypeScript |         52 |          0 |          8 |         60 |
| d:\JS\light-store\src\app\modules\admins\tabs\employee-editor-tab\employee-editor-tab.component.html                      | HTML       |         54 |          0 |          8 |         62 |
| d:\JS\light-store\src\app\modules\admins\tabs\employee-editor-tab\employee-editor-tab.component.scss                      | SCSS       |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\admins\tabs\employee-editor-tab\employee-editor-tab.component.ts                        | TypeScript |         98 |          2 |          8 |        108 |
| d:\JS\light-store\src\app\modules\admins\tabs\employees-tab\employees-tab.component.html                                  | HTML       |         15 |          0 |          1 |         16 |
| d:\JS\light-store\src\app\modules\admins\tabs\employees-tab\employees-tab.component.scss                                  | SCSS       |          8 |          0 |          3 |         11 |
| d:\JS\light-store\src\app\modules\admins\tabs\employees-tab\employees-tab.component.ts                                    | TypeScript |         25 |          0 |          7 |         32 |
| d:\JS\light-store\src\app\modules\admins\tabs\warehouses-editor-tab\warehouses-editor-tab.component.html                  | HTML       |         36 |          0 |          6 |         42 |
| d:\JS\light-store\src\app\modules\admins\tabs\warehouses-editor-tab\warehouses-editor-tab.component.scss                  | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\admins\tabs\warehouses-editor-tab\warehouses-editor-tab.component.ts                    | TypeScript |        103 |          2 |         18 |        123 |
| d:\JS\light-store\src\app\modules\admins\tabs\warehouses-tab\warehouses-tab.component.html                                | HTML       |         12 |          0 |          1 |         13 |
| d:\JS\light-store\src\app\modules\admins\tabs\warehouses-tab\warehouses-tab.component.scss                                | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\admins\tabs\warehouses-tab\warehouses-tab.component.ts                                  | TypeScript |         32 |          0 |          7 |         39 |
| d:\JS\light-store\src\app\modules\customers\components\cart-item\cart-item.component.html                                 | HTML       |         16 |          0 |          1 |         17 |
| d:\JS\light-store\src\app\modules\customers\components\cart-item\cart-item.component.scss                                 | SCSS       |         37 |          0 |          8 |         45 |
| d:\JS\light-store\src\app\modules\customers\components\cart-item\cart-item.component.ts                                   | TypeScript |         23 |          0 |          4 |         27 |
| d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.html             | HTML       |         10 |          0 |          1 |         11 |
| d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.scss             | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.ts               | TypeScript |         20 |          0 |          6 |         26 |
| d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.html         | HTML       |         15 |          0 |          1 |         16 |
| d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.scss         | SCSS       |         13 |          0 |          2 |         15 |
| d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.ts           | TypeScript |         33 |          0 |          8 |         41 |
| d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.html                               | HTML       |         31 |          0 |          1 |         32 |
| d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.scss                               | SCSS       |         45 |          0 |         10 |         55 |
| d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.ts                                 | TypeScript |         22 |          0 |          4 |         26 |
| d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.html           | HTML       |         14 |          0 |          1 |         15 |
| d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.scss           | SCSS       |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.ts             | TypeScript |         13 |          0 |          3 |         16 |
| d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.html                           | HTML       |         33 |          0 |          1 |         34 |
| d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.scss                           | SCSS       |         14 |          0 |          4 |         18 |
| d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.ts                             | TypeScript |         27 |          0 |          7 |         34 |
| d:\JS\light-store\src\app\modules\customers\customers-routing.module.ts                                                   | TypeScript |         31 |          0 |          5 |         36 |
| d:\JS\light-store\src\app\modules\customers\customers.module.ts                                                           | TypeScript |         47 |          0 |          4 |         51 |
| d:\JS\light-store\src\app\modules\customers\guards\customer.guard.ts                                                      | TypeScript |         20 |          0 |          4 |         24 |
| d:\JS\light-store\src\app\modules\customers\models\cart-item.ts                                                           | TypeScript |          7 |          0 |          1 |          8 |
| d:\JS\light-store\src\app\modules\customers\models\customer.ts                                                            | TypeScript |          4 |          0 |          2 |          6 |
| d:\JS\light-store\src\app\modules\customers\models\dtos\cart-item-dto.ts                                                  | TypeScript |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\customers\models\dtos\create-customer-dto.ts                                            | TypeScript |          8 |          0 |          1 |          9 |
| d:\JS\light-store\src\app\modules\customers\models\dtos\create-delivery-information-dto.ts                                | TypeScript |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\customers\models\dtos\create-order-dto.ts                                               | TypeScript |          7 |          0 |          2 |          9 |
| d:\JS\light-store\src\app\modules\customers\models\dtos\customer-signup-response-dto.ts                                   | TypeScript |          7 |          0 |          2 |          9 |
| d:\JS\light-store\src\app\modules\customers\models\dtos\product-in-order-dto.ts                                           | TypeScript |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\customers\models\dtos\update-customer-dto.ts                                            | TypeScript |          5 |          0 |          1 |          6 |
| d:\JS\light-store\src\app\modules\customers\models\order-item.ts                                                          | TypeScript |         12 |          0 |          3 |         15 |
| d:\JS\light-store\src\app\modules\customers\models\product-in-catalog.ts                                                  | TypeScript |          4 |          0 |          2 |          6 |
| d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.html                                      | HTML       |         36 |          0 |          2 |         38 |
| d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.scss                                      | SCSS       |         66 |          0 |          8 |         74 |
| d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.ts                                        | TypeScript |         55 |          0 |          9 |         64 |
| d:\JS\light-store\src\app\modules\customers\pages\customer-base-layout\customer-base-layout.component.html                | HTML       |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\customers\pages\customer-base-layout\customer-base-layout.component.scss                | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\customers\pages\customer-base-layout\customer-base-layout.component.ts                  | TypeScript |          8 |          0 |          3 |         11 |
| d:\JS\light-store\src\app\modules\customers\pages\customer-page\customer-page.component.html                              | HTML       |          6 |          0 |          1 |          7 |
| d:\JS\light-store\src\app\modules\customers\pages\customer-page\customer-page.component.scss                              | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\customers\pages\customer-page\customer-page.component.ts                                | TypeScript |         19 |          0 |          5 |         24 |
| d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.html                  | HTML       |         39 |          0 |          1 |         40 |
| d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.scss                  | SCSS       |         67 |          0 |          8 |         75 |
| d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.ts                    | TypeScript |        129 |          0 |         21 |        150 |
| d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.html                | HTML       |         47 |          0 |          1 |         48 |
| d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.scss                | SCSS       |         44 |          0 |          9 |         53 |
| d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.ts                  | TypeScript |         53 |          0 |         10 |         63 |
| d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.html                              | HTML       |         29 |          0 |          1 |         30 |
| d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.scss                              | SCSS       |         23 |          0 |          6 |         29 |
| d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.ts                                | TypeScript |         92 |          0 |         16 |        108 |
| d:\JS\light-store\src\app\modules\customers\pages\registration-page\registration-page.component.html                      | HTML       |         47 |          0 |          8 |         55 |
| d:\JS\light-store\src\app\modules\customers\pages\registration-page\registration-page.component.scss                      | SCSS       |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\customers\pages\registration-page\registration-page.component.ts                        | TypeScript |         97 |          2 |          8 |        107 |
| d:\JS\light-store\src\app\modules\customers\services\cart.service.ts                                                      | TypeScript |         94 |          0 |         13 |        107 |
| d:\JS\light-store\src\app\modules\customers\services\customer.service.ts                                                  | TypeScript |         82 |          0 |         11 |         93 |
| d:\JS\light-store\src\app\modules\customers\services\local-cart.service.ts                                                | TypeScript |         17 |          0 |          6 |         23 |
| d:\JS\light-store\src\app\modules\customers\services\order.service.ts                                                     | TypeScript |         23 |          0 |          4 |         27 |
| d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.html                                     | HTML       |          1 |          0 |          1 |          2 |
| d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.scss                                     | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.ts                                       | TypeScript |          8 |          0 |          3 |         11 |
| d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.html                                 | HTML       |         48 |          0 |          6 |         54 |
| d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.scss                                 | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.ts                                   | TypeScript |         88 |          2 |         13 |        103 |
| d:\JS\light-store\src\app\modules\employees\components\employee-header\employee-header.component.html                     | HTML       |         21 |          0 |          1 |         22 |
| d:\JS\light-store\src\app\modules\employees\components\employee-header\employee-header.component.scss                     | SCSS       |          0 |          0 |          1 |          1 |
| d:\JS\light-store\src\app\modules\employees\components\employee-header\employee-header.component.ts                       | TypeScript |         18 |          0 |          4 |         22 |
| d:\JS\light-store\src\app\modules\employees\components\product-in-adding\product-in-adding.component.html                 | HTML       |         13 |          0 |          1 |         14 |
| d:\JS\light-store\src\app\modules\employees\components\product-in-adding\product-in-adding.component.scss                 | SCSS       |         28 |          0 |          6 |         34 |
| d:\JS\light-store\src\app\modules\employees\components\product-in-adding\product-in-adding.component.ts                   | TypeScript |         23 |          0 |          4 |         27 |
| d:\JS\light-store\src\app\modules\employees\components\product-item\product-item.component.html                           | HTML       |          9 |          0 |          1 |         10 |
| d:\JS\light-store\src\app\modules\employees\components\product-item\product-item.component.scss                           | SCSS       |         17 |          0 |          5 |         22 |
| d:\JS\light-store\src\app\modules\employees\components\product-item\product-item.component.ts                             | TypeScript |         15 |          0 |          3 |         18 |
| d:\JS\light-store\src\app\modules\employees\components\product-selector\product-selector.component.html                   | HTML       |          5 |          0 |          1 |          6 |
| d:\JS\light-store\src\app\modules\employees\components\product-selector\product-selector.component.scss                   | SCSS       |          5 |          0 |          1 |          6 |
| d:\JS\light-store\src\app\modules\employees\components\product-selector\product-selector.component.ts                     | TypeScript |         37 |          0 |          8 |         45 |
| d:\JS\light-store\src\app\modules\employees\components\products-adding-item\products-adding-item.component.html           | HTML       |          5 |          0 |          1 |          6 |
| d:\JS\light-store\src\app\modules\employees\components\products-adding-item\products-adding-item.component.scss           | SCSS       |          8 |          0 |          3 |         11 |
| d:\JS\light-store\src\app\modules\employees\components\products-adding-item\products-adding-item.component.ts             | TypeScript |         14 |          0 |          3 |         17 |
| d:\JS\light-store\src\app\modules\employees\components\products-adding-selector\products-adding-selector.component.html   | HTML       |          9 |          0 |          1 |         10 |
| d:\JS\light-store\src\app\modules\employees\components\products-adding-selector\products-adding-selector.component.scss   | SCSS       |          8 |          0 |          3 |         11 |
| d:\JS\light-store\src\app\modules\employees\components\products-adding-selector\products-adding-selector.component.ts     | TypeScript |         27 |          0 |          7 |         34 |
| d:\JS\light-store\src\app\modules\employees\employees-routing.module.ts                                                   | TypeScript |         30 |          0 |          6 |         36 |
| d:\JS\light-store\src\app\modules\employees\employees.module.ts                                                           | TypeScript |         51 |          0 |          4 |         55 |
| d:\JS\light-store\src\app\modules\employees\guards\employee.guard.ts                                                      | TypeScript |         20 |          0 |          4 |         24 |
| d:\JS\light-store\src\app\modules\employees\models\dtos\create-product-dto.ts                                             | TypeScript |         10 |          0 |          2 |         12 |
| d:\JS\light-store\src\app\modules\employees\models\dtos\create-products-adding-dto.ts                                     | TypeScript |          5 |          0 |          2 |          7 |
| d:\JS\light-store\src\app\modules\employees\models\dtos\create-products-category-dto.ts                                   | TypeScript |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\employees\models\dtos\product-in-adding-dto.ts                                          | TypeScript |          4 |          0 |          1 |          5 |
| d:\JS\light-store\src\app\modules\employees\models\dtos\update-product-dto.ts                                             | TypeScript |         11 |          0 |          2 |         13 |
| d:\JS\light-store\src\app\modules\employees\models\dtos\update-products-category-dto.ts                                   | TypeScript |          5 |          0 |          1 |          6 |
| d:\JS\light-store\src\app\modules\employees\models\employee.ts                                                            | TypeScript |          3 |          0 |          2 |          5 |
